NEIGHBORHOOD,BLOCK,ZIPCODE
GREENWICH VILLAGE-WEST   ,624,10014
GREENWICH VILLAGE-WEST   ,626,10014
GREENWICH VILLAGE-WEST   ,627,10014
GREENWICH VILLAGE-WEST   ,631,10014
GREENWICH VILLAGE-WEST   ,640,10014
GREENWICH VILLAGE-WEST   ,527,10014
GREENWICH VILLAGE-WEST   ,588,10014
GREENWICH VILLAGE-WEST   ,609,10011
GREENWICH VILLAGE-WEST   ,612,10014
GREENWICH VILLAGE-WEST   ,633,10014
GREENWICH VILLAGE-WEST   ,642,10014
GREENWICH VILLAGE-WEST   ,608,10011
GREENWICH VILLAGE-WEST   ,582,10014
GREENWICH VILLAGE-WEST   ,583,10014
GREENWICH VILLAGE-WEST   ,607,10011
GREENWICH VILLAGE-WEST   ,610,10014
GREENWICH VILLAGE-WEST   ,611,10014
GREENWICH VILLAGE-WEST   ,616,10014
GREENWICH VILLAGE-WEST   ,619,10014
GREENWICH VILLAGE-WEST   ,620,10014
GREENWICH VILLAGE-WEST   ,621,10014
GREENWICH VILLAGE-WEST   ,625,10014
GREENWICH VILLAGE-WEST   ,635,10014
GREENWICH VILLAGE-WEST   ,528,10014
GREENWICH VILLAGE-WEST   ,585,10014
GREENWICH VILLAGE-WEST   ,593,10014
GREENWICH VILLAGE-WEST   ,608,10014
GREENWICH VILLAGE-WEST   ,622,10011
GREENWICH VILLAGE-WEST   ,632,10012
GREENWICH VILLAGE-WEST   ,636,10027
GREENWICH VILLAGE-WEST   ,641,10014
GREENWICH VILLAGE-WEST   ,583,10003
GREENWICH VILLAGE-WEST   ,591,10014
GREENWICH VILLAGE-WEST   ,591,10011
GREENWICH VILLAGE-WEST   ,603,10014
GREENWICH VILLAGE-WEST   ,606,10014
GREENWICH VILLAGE-WEST   ,609,10014
GREENWICH VILLAGE-WEST   ,609,10024
GREENWICH VILLAGE-WEST   ,616,10017
GREENWICH VILLAGE-WEST   ,620,10003
GREENWICH VILLAGE-WEST   ,624,10012
GREENWICH VILLAGE-WEST   ,628,10013
GREENWICH VILLAGE-WEST   ,632,10003
GREENWICH VILLAGE-WEST   ,636,10013
GREENWICH VILLAGE-WEST   ,637,10014
GREENWICH VILLAGE-WEST   ,638,10014
GREENWICH VILLAGE-WEST   ,640,10003
GREENWICH VILLAGE-WEST   ,643,10014
GREENWICH VILLAGE-WEST   ,601,10014
GREENWICH VILLAGE-WEST   ,604,10014
GREENWICH VILLAGE-WEST   ,618,10011
GREENWICH VILLAGE-WEST   ,629,10014
GREENWICH VILLAGE-WEST   ,593,10012
GREENWICH VILLAGE-WEST   ,612,10003
GREENWICH VILLAGE-WEST   ,645,10014
GREENWICH VILLAGE-WEST   ,646,10014
GREENWICH VILLAGE-WEST   ,600,10014
HARLEM-CENTRAL           ,1718,10027
HARLEM-CENTRAL           ,1753,10035
HARLEM-CENTRAL           ,1827,10026
HARLEM-CENTRAL           ,1905,10027
HARLEM-CENTRAL           ,1914,10027
HARLEM-CENTRAL           ,1926,10027
HARLEM-CENTRAL           ,1947,10027
HARLEM-CENTRAL           ,2025,10030
HARLEM-CENTRAL           ,2041,10030
HARLEM-CENTRAL           ,2050,10031
HARLEM-CENTRAL           ,2051,10030
HARLEM-CENTRAL           ,1720,10027
HARLEM-CENTRAL           ,1723,10027
HARLEM-CENTRAL           ,1724,10027
HARLEM-CENTRAL           ,1726,10027
HARLEM-CENTRAL           ,1902,10026
HARLEM-CENTRAL           ,1911,10027
HARLEM-CENTRAL           ,1916,10037
HARLEM-CENTRAL           ,1916,10027
HARLEM-CENTRAL           ,1927,10027
HARLEM-CENTRAL           ,1928,10027
HARLEM-CENTRAL           ,1937,10027
HARLEM-CENTRAL           ,1941,10030
HARLEM-CENTRAL           ,1942,10030
