,NEIGHBORHOOD,ZIPCODE
38938,OCEAN PARKWAY-NORTH      ,11235.0
39185,OCEAN PARKWAY-SOUTH      ,11209.0
39313,OCEAN PARKWAY-SOUTH      ,11234.0
40070,PARK SLOPE               ,11218.0
40270,PARK SLOPE               ,11213.0
40819,PROSPECT HEIGHTS         ,11258.0
41908,SPRING CREEK             ,11239.0
42707,WILLIAMSBURG-CENTRAL     ,11205.0
43419,WINDSOR TERRACE          ,11223.0
47122,BERGEN BEACH             ,11235.0
47254,BERGEN BEACH             ,11230.0
48120,BRIGHTON BEACH           ,11223.0
49064,BROOKLYN-UNKNOWN         ,11220.0
49333,BROWNSVILLE              ,11207.0
50283,BUSHWICK                 ,11230.0
50618,CANARSIE                 ,11204.0
55712,EAST NEW YORK            ,11234.0
57184,FLATBUSH-EAST            ,11230.0
62767,PARK SLOPE               ,11238.0
64147,SHEEPSHEAD BAY           ,11206.0
66201,WILLIAMSBURG-SOUTH       ,11215.0
71146,BROOKLYN-UNKNOWN         ,11201.0
71147,BROOKLYN-UNKNOWN         ,11231.0
71302,BROWNSVILLE              ,11218.0
71396,BROWNSVILLE              ,11233.0
72689,CANARSIE                 ,11228.0
77295,FLATBUSH-CENTRAL         ,11207.0
80620,GREENPOINT               ,11237.0
85175,SUNSET PARK              ,11219.0
86928,3004,11214.0
91304,BROOKLYN-UNKNOWN         ,11210.0
91305,BROOKLYN-UNKNOWN         ,11215.0
101190,OCEAN PARKWAY-SOUTH      ,11233.0
109355,CANARSIE                 ,11221.0
109562,CLINTON HILL             ,11216.0
113102,FORT GREENE              ,11243.0
117543,SPRING CREEK             ,11208.0
121847,BROOKLYN-UNKNOWN         ,11229.0
121849,BROOKLYN-UNKNOWN         ,11237.0
124218,EAST NEW YORK            ,11226.0
129605,WILLIAMSBURG-NORTH       ,11231.0
135060,EAST NEW YORK            ,11416.0
138457,OCEAN PARKWAY-NORTH      ,11206.0
141507,BATH BEACH               ,11215.0
164105,NAVY YARD                ,11211.0
166896,WILLIAMSBURG-CENTRAL     ,11249.0
167241,WILLIAMSBURG-NORTH       ,11249.0
167714,WILLIAMSBURG-SOUTH       ,11249.0
171845,BROOKLYN-UNKNOWN         ,11234.0
171846,BROOKLYN-UNKNOWN         ,11205.0
173285,CLINTON HILL             ,11249.0
178254,JAMAICA BAY              ,11234.0
182089,SPRING CREEK             ,11207.0
203101,BROOKLYN-UNKNOWN         ,11225.0
203758,BUSHWICK                 ,11227.0
208982,FORT GREENE              ,11226.0
211772,OCEAN PARKWAY-SOUTH      ,11214.0
214743,WILLIAMSBURG-SOUTH       ,11206.0
223746,FLATBUSH-NORTH           ,11236.0
224313,GRAVESEND                ,11229.0
228820,SUNSET PARK              ,11218.0
229550,WILLIAMSBURG-EAST        ,11221.0
230356,BATH BEACH,11228.0
230358,BATH BEACH,11214.0
230427,BATH BEACH,11215.0
230518,BAY RIDGE,11220.0
230530,BAY RIDGE,11209.0
230531,BAY RIDGE,11228.0
230631,BAY RIDGE,11219.0
231114,BEDFORD STUYVESANT,11221.0
231123,BEDFORD STUYVESANT,11233.0
231130,BEDFORD STUYVESANT,11213.0
231133,BEDFORD STUYVESANT,11206.0
231141,BEDFORD STUYVESANT,11216.0
231302,BEDFORD STUYVESANT,11205.0
231418,BEDFORD STUYVESANT,11238.0
231984,BENSONHURST,11204.0
232010,BENSONHURST,11228.0
232018,BENSONHURST,11214.0
232040,BENSONHURST,11219.0
232290,BERGEN BEACH,11234.0
232414,BOERUM HILL,11217.0
232422,BOERUM HILL,11201.0
232602,BOROUGH PARK,11218.0
232606,BOROUGH PARK,11204.0
232647,BOROUGH PARK,11219.0
232663,BOROUGH PARK,11220.0
232664,BOROUGH PARK,11232.0
232959,BOROUGH PARK,11230.0
233212,BRIGHTON BEACH,11235.0
233474,BROOKLYN HEIGHTS,11201.0
233791,BROOKLYN HEIGHTS,11241.0
233798,BROWNSVILLE,11212.0
233955,BUSH TERMINAL,11220.0
233972,BUSH TERMINAL,11232.0
233980,BUSHWICK,11206.0
233981,BUSHWICK,11221.0
233987,BUSHWICK,11207.0
233992,BUSHWICK,11237.0
234385,CANARSIE,11236.0
234707,CANARSIE,11239.0
234911,CARROLL GARDENS,11231.0
234914,CARROLL GARDENS,11217.0
235002,CARROLL GARDENS,11201.0
235037,CLINTON HILL,11205.0
235038,CLINTON HILL,11238.0
235095,CLINTON HILL,11249.0
235361,COBBLE HILL,11201.0
235368,COBBLE HILL,11231.0
235449,COBBLE HILL-WEST,11231.0
235474,COBBLE HILL-WEST,11201.0
235499,CONEY ISLAND,11224.0
235685,CROWN HEIGHTS,11238.0
235687,CROWN HEIGHTS,11216.0
235689,CROWN HEIGHTS,11213.0
235715,CROWN HEIGHTS,11225.0
235809,CROWN HEIGHTS,11233.0
236177,CYPRESS HILLS,11207.0
236192,CYPRESS HILLS,11208.0
236431,DOWNTOWN-FULTON FERRY,11201.0
236629,DOWNTOWN-FULTON MALL,11201.0
236631,DOWNTOWN-FULTON MALL,11217.0
236836,DOWNTOWN-METROTECH,11201.0
236951,DYKER HEIGHTS,11219.0
236952,DYKER HEIGHTS,11228.0
237118,EAST NEW YORK,11207.0
237145,EAST NEW YORK,11208.0
237792,FLATBUSH-CENTRAL,11226.0
237793,FLATBUSH-CENTRAL,11218.0
237855,FLATBUSH-CENTRAL,11210.0
237857,FLATBUSH-CENTRAL,11230.0
238183,FLATBUSH-EAST,11203.0
238220,FLATBUSH-EAST,11226.0
238282,FLATBUSH-EAST,11210.0
238354,FLATBUSH-EAST,11234.0
238408,FLATBUSH-EAST,11236.0
238699,FLATBUSH-EAST,11218.0
238730,FLATBUSH-LEFFERTS GARDEN,11225.0
238755,FLATBUSH-LEFFERTS GARDEN,11226.0
238792,FLATBUSH-LEFFERTS GARDEN,11203.0
238840,FLATBUSH-NORTH,11213.0
238843,FLATBUSH-NORTH,11212.0
238849,FLATBUSH-NORTH,11203.0
238860,FLATBUSH-NORTH,11225.0
238941,FLATBUSH-NORTH,11226.0
239074,FLATLANDS,11234.0
239211,FORT GREENE,11238.0
239214,FORT GREENE,11205.0
239219,FORT GREENE,11217.0
239262,FORT GREENE,11201.0
239369,GERRITSEN BEACH,11229.0
239461,GOWANUS,11217.0
239463,GOWANUS,11231.0
239465,GOWANUS,11215.0
239575,GRAVESEND,11214.0
239576,GRAVESEND,11204.0
239578,GRAVESEND,11223.0
239977,GREENPOINT,11222.0
240022,GREENPOINT,11211.0
240361,KENSINGTON,11218.0
240474,MADISON,11229.0
240616,MADISON,11223.0
240777,MANHATTAN BEACH,11235.0
240820,MARINE PARK,11229.0
240823,MARINE PARK,11234.0
241091,MIDWOOD,11230.0
241120,MIDWOOD,11210.0
241123,MIDWOOD,11229.0
241384,MIDWOOD,11223.0
241397,MILL BASIN,11234.0
241484,NAVY YARD,11205.0
241510,OCEAN HILL,11233.0
241513,OCEAN HILL,11212.0
241514,OCEAN HILL,11207.0
241547,OCEAN HILL,11221.0
241778,OCEAN PARKWAY-NORTH,11218.0
241788,OCEAN PARKWAY-NORTH,11230.0
241848,OCEAN PARKWAY-NORTH,11223.0
241949,OCEAN PARKWAY-NORTH,11201.0
242137,OCEAN PARKWAY-SOUTH,11223.0
242167,OCEAN PARKWAY-SOUTH,11235.0
242336,OLD MILL BASIN,11234.0
242507,PARK SLOPE,11217.0
242509,PARK SLOPE,11215.0
242644,PARK SLOPE,11238.0
243125,PARK SLOPE SOUTH,11215.0
243166,PARK SLOPE SOUTH,11226.0
243259,PROSPECT HEIGHTS,11238.0
243261,PROSPECT HEIGHTS,11217.0
243650,RED HOOK,11231.0
243714,SEAGATE,11224.0
243761,SHEEPSHEAD BAY,11229.0
243802,SHEEPSHEAD BAY,11235.0
244033,SHEEPSHEAD BAY,11223.0
244424,SPRING CREEK,11239.0
244503,SPRING CREEK,11208.0
244506,SUNSET PARK,11215.0
244507,SUNSET PARK,11232.0
244516,SUNSET PARK,11220.0
244865,WILLIAMSBURG-CENTRAL,11249.0
244866,WILLIAMSBURG-CENTRAL,11211.0
244869,WILLIAMSBURG-CENTRAL,11206.0
244944,WILLIAMSBURG-CENTRAL,11205.0
244979,WILLIAMSBURG-EAST,11211.0
245011,WILLIAMSBURG-EAST,11206.0
245106,WILLIAMSBURG-EAST,11222.0
245142,WILLIAMSBURG-EAST,11237.0
245262,WILLIAMSBURG-NORTH,11249.0
245264,WILLIAMSBURG-NORTH,11211.0
245607,WILLIAMSBURG-SOUTH,11249.0
245611,WILLIAMSBURG-SOUTH,11211.0
245849,WINDSOR TERRACE,11218.0
245851,WINDSOR TERRACE,11215.0
245980,WYCKOFF HEIGHTS,11237.0
247570,BEDFORD STUYVESANT,
247794,BENSONHURST,11223.0
250277,CANARSIE,11212.0
251593,CYPRESS HILLS,11223.0
251788,CYPRESS HILLS,11209.0
254838,GRAVESEND,11219.0
255489,JAMAICA BAY,11234.0
260008,WILLIAMSBURG-NORTH,11231.0
