BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,391,56, ,C6," 307 EAST 8TH STREET, 4B                   ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,540000,2/14/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,391,56, ,C6," 307 EAST 8TH STREET, 1C                   ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,557000,10/14/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6," 630 EAST 14TH STREET, 19/20               ",            ,10009,0,0,0,0,0,1920, 2 , C6 ,605500,5/17/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6," 628 EAST 14TH STREET, 9                   ",            ,10009,0,0,0,0,0,1920, 2 , C6 ,338940,11/16/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6," 630 EAST 14TH STREET, 7                   ",            ,10009,0,0,0,0,0,1920, 2 , C6 ,0,12/20/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6," 630 EAST 14TH STREET, 13                  ",            ,10009,0,0,0,0,0,1920, 2 , C6 ,0,12/20/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6," 632 EAST 14TH STREET, 2                   ",            ,10009,0,0,0,0,0,1920, 2 , C6 ,0,12/20/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,397,25, ,C6," 185 EAST 2ND STREET, 3A                   ",            ,10009,0,0,0,0,0,1915, 2 , C6 ,330000,2/1/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,400,44, ,C6," 229 EAST 4TH STREET, 4                    ",            ,10009,0,0,0,0,0,1929, 2 , C6 ,250000,1/25/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,400,45, ,C6," 225 EAST 4TH STREET, 6                    ",            ,10009,0,0,0,0,0,1937, 2 , C6 ,395000,6/29/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,401,12, ,C6," 504 EAST 6TH STREET, 4                    ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,525000,6/7/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,401,22, ,C6," 524 EAST 6TH STREET, 8                    ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,452000,5/25/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,401,22, ,C6," 524 EAST 6TH STREET, 7                    ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,462500,11/4/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,401,57, ,C6," 513 EAST 5TH STREET, 4B                   ",            ,10009,0,0,0,0,0,1929, 2 , C6 ,216000,8/30/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,401,57, ,C6," 513 EAST 5TH STREET, 3A                   ",            ,10009,0,0,0,0,0,1929, 2 , C6 ,218750,11/18/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,402,47, ,C6," 537 EAST 6TH STREET, 4                    ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,380000,8/1/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,402,49, ,C6," 533 EAST 6TH STREET, 1                    ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,695000,7/19/2011
