,neighborhood,last_income,avg_pct_change,pct_change_3yr,comparison_3yr,pct_change_5yr,comparison_5yr
58,DOWNTOWN-FULTON FERRY,194.06146387238036,0.0595,0.0409,-0.0186,0.064,0.0045
59,DOWNTOWN-FULTON MALL,158.64295242500972,0.0626,0.0458,-0.0168,0.0667,0.0041
60,DOWNTOWN-METROTECH,133.811497865471,0.0719,0.0591,-0.0128,0.0701,-0.0018
61,DYKER HEIGHTS,56.047158771344456,0.0252,0.0294,0.0042,0.0268,0.0016
62,EAST ELMHURST,54.243303400209285,0.0298,0.0491,0.0193,0.0383,0.0085
63,EAST NEW YORK,51.28880495541649,0.0396,0.0574,0.0178,0.0505,0.0109
64,EAST RIVER,53.115887231373094,0.0223,0.0292,0.0069,0.027,0.0047
65,EAST TREMONT,27.364390632189785,0.016,0.0342,0.0182,0.0174,0.0014
66,EAST VILLAGE,216.810018006335,0.0562,0.0246,-0.0316,0.0508,-0.0054
67,ELMHURST,50.33502098431571,0.0244,0.0331,0.0087,0.0291,0.0047
68,FAR ROCKAWAY,43.67718046703015,0.0329,0.0323,-0.0006,0.0254,-0.0075
69,FASHION,250.62665619713724,0.0428,0.0034,-0.0394,0.0385,-0.0043
70,FIELDSTON,74.04146538586332,0.0246,0.0126,-0.012,0.0341,0.0095
71,FINANCIAL,307.32065474429294,0.0004,0.0098,0.0094,0.0467,0.0463
72,FLATBUSH-CENTRAL,63.259167604146555,0.0421,0.0498,0.0077,0.0513,0.0092
73,FLATBUSH-EAST,52.92448923376032,0.0321,0.048,0.0159,0.0416,0.0095
74,FLATBUSH-LEFFERTS GARDEN,46.353425315513284,0.0353,0.0545,0.0192,0.047,0.0117
75,FLATBUSH-NORTH,44.16081296922756,0.0271,0.0425,0.0154,0.0349,0.0078
76,FLATIRON,313.98642778739577,0.032,-0.0188,-0.0508,0.0353,0.0033
77,FLATLANDS,48.124508058546304,0.0237,0.0333,0.0096,0.0281,0.0044
78,FLORAL PARK,74.70229246457077,0.0259,0.029,0.0031,0.0279,0.002
79,FLUSHING MEADOW PARK,61.70387635560761,0.0307,0.0367,0.006,0.0333,0.0026
80,FLUSHING-NORTH,60.373721616336304,0.0287,0.0356,0.0069,0.0317,0.003
81,FLUSHING-SOUTH,61.36282748163747,0.0206,0.0368,0.0162,0.0283,0.0077
82,FORDHAM,27.707971040219178,0.019,0.034,0.015,0.0182,-0.0008
83,FOREST HILLS,54.082835571471094,0.0254,0.0326,0.0072,0.0298,0.0044
84,FORT GREENE,92.81634189856639,0.061,0.0604,-0.0006,0.0658,0.0048
85,FRESH MEADOWS,62.33040110565834,0.0173,0.0187,0.0014,0.0203,0.003
86,GERRITSEN BEACH,59.07773672556149,0.0253,0.0329,0.0076,0.0242,-0.0011
87,GLEN OAKS,86.31608927252205,0.0253,0.0432,0.0179,0.0333,0.008
88,GLENDALE,56.748825832871816,0.0272,0.0376,0.0104,0.0331,0.0059
89,GOWANUS,90.79067657065634,0.055,0.062,0.007,0.0628,0.0078
90,GRAMERCY,289.7700199799614,0.0551,0.0155,-0.0396,0.0515,-0.0036
