Year,Neighborhood,Average_Income
2013,PARKCHESTER,52.38467812667556
2013,PELHAM BAY,35.984882869692534
2013,PELHAM GARDENS,42.00422172091525
2013,PELHAM PARKWAY NORTH,36.81022872675159
2013,PELHAM PARKWAY SOUTH,49.198611020002
2013,PROSPECT HEIGHTS,64.53462901616106
2013,QUEENS VILLAGE,42.747985468479044
2013,QUEENS-UNKNOWN,42.88260708133074
2013,RED HOOK,72.49061157225348
2013,REGO PARK,48.2624691254934
2013,RICHMOND HILL,42.287977666076166
2013,RIDGEWOOD,51.256762504583136
2013,RIVERDALE,64.35351622930912
2013,ROCKAWAY PARK,75.63651945287153
2013,ROOSEVELT ISLAND,83.26586538461538
2013,ROSEDALE,52.4532310298318
2013,SCHUYLERVILLE/PELHAM BAY,42.332481203217725
2013,SEAGATE,36.923017507724
2013,SHEEPSHEAD BAY,51.41251037210388
2013,SO. JAMAICA-BAISLEY PARK,42.97458564564416
2013,SOHO,296.4635325199573
2013,SOUNDVIEW,29.33247934072045
2013,SOUTH JAMAICA,41.05139386923695
2013,SOUTH OZONE PARK,42.916200997080985
2013,SOUTHBRIDGE,115.94276422764227
2013,SPRING CREEK,31.33948025543933
2013,SPRINGFIELD GARDENS,41.026360623279025
2013,ST. ALBANS,43.9259105693419
2013,SUNNYSIDE,55.90654339595993
2013,SUNSET PARK,54.85179290215434
2013,THROGS NECK,37.31893841645125
2013,TRIBECA,342.3822575101445
2013,UPPER BAY,345.79147286821706
2013,UPPER EAST SIDE (59-79),322.46729242499566
2013,UPPER EAST SIDE (79-96),271.07565530685673
2013,UPPER EAST SIDE (96-110),279.4227573033204
2013,UPPER WEST SIDE (59-79),317.5144007013207
2013,UPPER WEST SIDE (79-96),276.60101784080433
2013,UPPER WEST SIDE (96-116),180.62257269107238
2013,VAN CORTLANDT PARK,88.75460338620698
2013,WAKEFIELD,36.342198507540054
2013,WASHINGTON HEIGHTS LOWER,66.87861535724058
2013,WASHINGTON HEIGHTS UPPER,145.65026616191915
2013,WESTCHESTER,61.12583652454384
2013,WHITESTONE,53.388872240583154
2013,WILLIAMSBRIDGE,34.64198509160014
2013,WILLIAMSBURG-CENTRAL,47.21835751005725
2013,WILLIAMSBURG-EAST,41.1880276692944
2013,WILLIAMSBURG-NORTH,67.8966899341454
2013,WILLIAMSBURG-SOUTH,64.93681353386376
2013,WINDSOR TERRACE,68.55557888980574
2013,WOODHAVEN,37.30002202242684
2013,WOODLAWN,46.758592692828145
2013,WOODSIDE,48.15989586833124
2013,WYCKOFF HEIGHTS,31.65795799741382
2014,1021,249.71451990632318
2014,1026,293.8962433646386
2014,3004,41.87000507099391
2014,3019,78.13559663865546
2014,AIRPORT JFK,44.97736329096052
2014,AIRPORT LA GUARDIA,42.5180303030303
2014,ALPHABET CITY,186.39448927914077
2014,ARVERNE,41.600413512261596
2014,ASTORIA,64.86733748481323
2014,BATH BEACH,58.48488926342101
2014,BATHGATE,26.037067244980587
2014,BAY RIDGE,68.21109028802181
2014,BAYCHESTER,35.87964324015088
2014,BAYSIDE,57.357769476767906
2014,BEDFORD PARK/NORWOOD,36.19609978883267
2014,BEDFORD STUYVESANT,48.823031816756455
2014,BEECHHURST,61.5258913629328
2014,BELLE HARBOR,58.537414247190156
2014,BELLEROSE,59.581967598346125
2014,BELMONT,32.204976993743
2014,BENSONHURST,50.639513058659354
2014,BERGEN BEACH,55.94118020389157
2014,BOERUM HILL,115.41186929967266
2014,BOROUGH PARK,51.31921561603898
2014,BREEZY POINT,94.97538461538461
2014,BRIARWOOD,47.28705683559034
2014,BRIGHTON BEACH,55.33196737562205
2014,BROAD CHANNEL,47.95499092558984
2014,BRONX PARK,31.388900738268923
2014,BRONX-UNKNOWN,28.753945125639877
2014,BRONXDALE,40.50499544038939
2014,BROOKLYN HEIGHTS,101.3179056674404
2014,BROOKLYN-UNKNOWN,62.53106679171303
2014,BROWNSVILLE,46.77943291903941
2014,BUSH TERMINAL,46.8477127397032
2014,BUSHWICK,56.34809387923967
2014,CAMBRIA HEIGHTS,41.682604018548304
2014,CANARSIE,42.711903040116155
2014,CARROLL GARDENS,109.42092567840865
2014,CASTLE HILL/UNIONPORT,32.307400250378066
2014,CHELSEA,315.34197382291194
2014,CHINATOWN,229.66626215393634
2014,CITY ISLAND,57.455581460975715
2014,CITY ISLAND-PELHAM STRIP,156.1874213836478
2014,CIVIC CENTER,310.11388925776413
2014,CLINTON,356.6546552466455
2014,CLINTON HILL,65.68702050810309
2014,CO-OP CITY,45.6795771479982
2014,COBBLE HILL,156.82892037747553
2014,COBBLE HILL-WEST,120.53003095455574
2014,COLLEGE POINT,55.09896498240881
2014,CONEY ISLAND,47.11601634344974
2014,CORONA,54.32314041403333
2014,COUNTRY CLUB,53.49275647246387
2014,CROTONA PARK,28.62288447831075
2014,CROWN HEIGHTS,55.535200907449465
2014,CYPRESS HILLS,72.55588479005704
2014,DOUGLASTON,74.8716422808773
2014,DOWNTOWN-FULTON FERRY,183.27467597208374
2014,DOWNTOWN-FULTON MALL,149.44945012539952
2014,DOWNTOWN-METROTECH,124.58301532222583
2014,DYKER HEIGHTS,53.05382887095711
2014,EAST ELMHURST,50.5650361002319
2014,EAST NEW YORK,46.820010703217214
2014,EAST RIVER,50.456761053154494
2014,EAST TREMONT,25.521068688330587
2014,EAST VILLAGE,221.70593630339934
2014,ELMHURST,47.44278659734722
2014,FAR ROCKAWAY,41.600413512261596
2014,FASHION,261.38033326419355
2014,FIELDSTON,79.37177290400768
2014,FINANCIAL,324.60148779969194
2014,FLATBUSH-CENTRAL,58.49262128254748
2014,FLATBUSH-EAST,48.821518729097214
2014,FLATBUSH-LEFFERTS GARDEN,42.78649751329525
2014,FLATBUSH-NORTH,40.589517380401034
2014,FLATIRON,361.77165638142407
2014,FLATLANDS,45.28247836942361
2014,FLORAL PARK,71.97062038953999
2014,FLUSHING MEADOW PARK,58.044657000765724
2014,FLUSHING-NORTH,57.49847580263897
2014,FLUSHING-SOUTH,59.16410374545693
2014,FORDHAM,25.928614486025886
2014,FOREST HILLS,51.242229478899056
2014,FORT GREENE,84.87456521572133
2014,FRESH MEADOWS,60.94873347759972
2014,GERRITSEN BEACH,57.19096250739598
2014,GLEN OAKS,82.85853640844938
2014,GLENDALE,53.027459692734645
2014,GOWANUS,84.54213576281145
2014,GRAMERCY,310.20496490025914
2014,GRAVESEND,50.84738585951804
2014,GREENPOINT,45.27586015258315
2014,GREENWICH VILLAGE-CENTRAL,335.6492145456373
2014,GREENWICH VILLAGE-WEST,300.0156045543906
2014,HAMMELS,58.537414247190156
2014,HARLEM-CENTRAL,117.05119134151883
2014,HARLEM-EAST,129.80066868338977
2014,HARLEM-UPPER,91.50971162635688
2014,HARLEM-WEST,48.50701980462504
2014,HIGHBRIDGE/MORRIS HEIGHTS,27.530040245148882
2014,HILLCREST,53.57521226285188
2014,HOLLIS,45.645232698834576
2014,HOLLIS HILLS,53.9077650289928
2014,HOLLISWOOD,47.28832218075888
2014,HOWARD BEACH,51.16117010042664
2014,HUNTS POINT,29.981507414503056
2014,INWOOD,206.57136879325824
2014,JACKSON HEIGHTS,48.95644636039223
2014,JAMAICA,37.856073956831096
2014,JAMAICA BAY,46.48375115672779
2014,JAMAICA ESTATES,53.04002544453704
2014,JAMAICA HILLS,42.58851041918733
2014,JAVITS CENTER,294.5832728535167
2014,KENSINGTON,63.568711036570605
2014,KEW GARDENS,48.80743029245645
2014,KINGSBRIDGE HTS/UNIV HTS,31.44115766380926
