,census_tract_nbr,map_nbr,county,neighborhood
153,36017970400,9704.0,Chenango,City of Norwich
154,36025970600,9706.0,Delaware,Town & Village of Walton
155,36025970400,9704.0,Delaware,Town & Village of Sidney
156,36025970500,9705.0,Delaware,Town of Deposit
157,36097950500,9505.0,Schuyler,"Towns of Catharine, Cayuta and Montour and theVillages of Montour Falls and Odessa"
158,36097950300,9503.0,Schuyler,Towns of Orange and Tyrone
159,36101960700,9607.0,Steuben,City of Hornell
160,36101960800,9608.0,Steuben,City of Hornell
161,36107020701,207.01,Tioga,Town & Village of Spencer
162,36107020600,206.0,Tioga,Town/Village of Nichols and Town of Tioga
163,36109000800,8.0,Tompkins,Town of Ithaca
164,36109001100,11.0,Tompkins,Town of Ithaca
165,36003950800,9508.0,Allegany,Town of Alfred
166,36003950700,9507.0,Allegany,Town of Wellsville
167,36009961600,9616.0,Cattaraugus,City of Olean
168,36009961700,9617.0,Cattaraugus,City of Olean
169,36009960600,9606.0,Cattaraugus,Village of Little Valley
170,36013035400,354.0,Chautauqua,City of Dunkirk
171,36013035500,355.0,Chautauqua,City of Dunkirk
172,36013035600,356.0,Chautauqua,City of Dunkirk
173,36013035700,357.0,Chautauqua,City of Dunkirk
174,36013030500,305.0,Chautauqua,City of Jamestown
175,36013037300,373.0,Chautauqua,Village FalconerCity of Jamestown
176,36013035800,358.0,Chautauqua,Village of Fredonia
177,36029008300,83.0,Erie,City & Town of Tonawanda
178,36029000110,1.1,Erie,City of Buffalo
179,36029000500,5.0,Erie,City of Buffalo
180,36029001600,16.0,Erie,City of Buffalo
181,36029002502,25.02,Erie,City of Buffalo
182,36029003100,31.0,Erie,City of Buffalo
183,36029003400,34.0,Erie,City of Buffalo
184,36029004001,40.01,Erie,City of Buffalo
185,36029004700,47.0,Erie,City of Buffalo
186,36029005600,56.0,Erie,City of Buffalo
187,36029006100,61.0,Erie,City of Buffalo
188,36029006702,67.02,Erie,City of Buffalo
189,36029016300,163.0,Erie,City of Buffalo
190,36029016400,164.0,Erie,City of Buffalo
191,36029016500,165.0,Erie,City of Buffalo
192,36029016800,168.0,Erie,City of Buffalo
193,36029017000,170.0,Erie,City of Buffalo
194,36029017100,171.0,Erie,City of Buffalo
195,36029008400,84.0,Erie,City of BuffaloVillage of KenmoreTown of Tonawanda
196,36029012300,123.0,Erie,City of Lackawanna
197,36029017400,174.0,Erie,City of Lackawanna
198,36029017200,172.0,Erie,City of Tonawanda
199,36029009200,92.0,Erie,Town of Amherst
200,36063023700,237.0,Niagara,City of Lockport
201,36063020200,202.0,Niagara,City of Niagara Falls
202,36063020500,205.0,Niagara,City of Niagara Falls
203,36063021100,211.0,Niagara,City of Niagara Falls
204,36063021200,212.0,Niagara,City of Niagara Falls
205,36063021700,217.0,Niagara,City of Niagara Falls
206,36063023200,232.0,Niagara,City of North Tonawanda
207,36063023100,231.0,Niagara,City of North Tonawanda
208,36061000202,2.02,Manhattan,LES/Chinatown
209,36061002201,22.01,Manhattan,LES/Chinatown
210,36061002601,26.01,Manhattan,LES/Chinatown
211,36061013500,135.0,Manhattan,"Hell's Kitchen, W"
212,36061021900,219.0,Manhattan,Manhattanville
213,36061022301,223.01,Manhattan,Manhattanville
214,36061022302,223.02,Manhattan,Manhattanville
215,36061021303,213.03,Manhattan,Manhattanville
216,36061021500,215.0,Manhattan,125th Corridor
217,36061022400,224.0,Manhattan,125th Corridor
218,36061022200,222.0,Manhattan,125th Corridor
219,36061020901,209.01,Manhattan,125th Corridor
220,36061020800,208.0,Manhattan,125th Corridor
221,36061020600,206.0,Manhattan,125th Corridor
222,36061024200,242.0,Manhattan,125th Corridor
223,36061019600,196.0,Manhattan,125th Corridor
224,36061019400,194.0,Manhattan,125th Corridor
225,36061019200,192.0,Manhattan,125th Corridor
226,36061016800,168.0,Manhattan,East Harlem
227,36061029900,299.0,Manhattan,Inwood
228,36061026100,261.0,Manhattan,Washington Heights S
229,36061026900,269.0,Manhattan,Inwood/Washington Heights
230,36061027700,277.0,Manhattan,Inwood/Washington Heights
231,36061027900,279.0,Manhattan,Inwood/Washington Heights
232,36061028700,287.0,Manhattan,Inwood/Washington Heights
233,36061029100,291.0,Manhattan,Inwood/Washington Heights
234,36061029300,293.0,Manhattan,Inwood/Washington Heights
235,36061030300,303.0,Manhattan,Inwood/Washington Heights
236,36061024301,243.01,Manhattan,Inwood/Washington Heights
237,36061023200,232.0,Manhattan,Centraal Harlem North - Polo Grounds
238,36061024100,241.0,Manhattan,Washing Heights South
239,36061021600,216.0,Manhattan,Centra Harlem South
240,36061023000,230.0,Manhattan,Centraal Harlem North - Polo Grounds
241,36061021800,218.0,Manhattan,Centra Harlem South
242,36061018000,180.0,Manhattan,East Harlem North
243,36047090800,908.0,Kings,Brownsville
244,36047090600,906.0,Kings,Brownsville
