,Year,Nbr of Crimes,Neighborhood
457,2010,1004.0,West Side
458,2010,1004.0,Upper West Side
459,2011,911.0,West Side
460,2011,911.0,Upper West Side
461,2012,1080.0,West Side
462,2012,1080.0,Upper West Side
463,2013,1022.0,West Side
464,2013,1022.0,Upper West Side
465,2014,1020.0,West Side
466,2014,1020.0,Upper West Side
467,2015,1018.0,West Side
468,2015,1018.0,Upper West Side
469,2016,1100.0,West Side
470,2016,1100.0,Upper West Side
471,2017,1091.0,West Side
472,2017,1091.0,Upper West Side
473,2018,1074.0,West Side
474,2018,1074.0,Upper West Side
475,2000,1151.0,East Harlem
476,2001,1057.0,East Harlem
477,2002,1088.0,East Harlem
478,2003,1115.0,East Harlem
479,2004,1131.0,East Harlem
480,2005,1102.0,East Harlem
481,2006,1101.0,East Harlem
482,2007,1058.0,East Harlem
483,2008,1063.0,East Harlem
484,2009,914.0,East Harlem
485,2010,899.0,East Harlem
486,2011,880.0,East Harlem
487,2012,1056.0,East Harlem
488,2013,1111.0,East Harlem
489,2014,1046.0,East Harlem
490,2015,1125.0,East Harlem
491,2016,1053.0,East Harlem
492,2017,1111.0,East Harlem
493,2018,1219.0,East Harlem
494,2000,1092.0,Manhattanville
495,2000,1092.0,Hamilton Heights
496,2001,930.0,Manhattanville
497,2001,930.0,Hamilton Heights
498,2002,922.0,Manhattanville
499,2002,922.0,Hamilton Heights
500,2003,929.0,Manhattanville
501,2003,929.0,Hamilton Heights
502,2004,909.0,Manhattanville
503,2004,909.0,Hamilton Heights
504,2005,913.0,Manhattanville
505,2005,913.0,Hamilton Heights
506,2006,889.0,Manhattanville
507,2006,889.0,Hamilton Heights
508,2007,780.0,Manhattanville
509,2007,780.0,Hamilton Heights
510,2008,758.0,Manhattanville
511,2008,758.0,Hamilton Heights
512,2009,650.0,Manhattanville
513,2009,650.0,Hamilton Heights
514,2010,670.0,Manhattanville
515,2010,670.0,Hamilton Heights
516,2011,616.0,Manhattanville
517,2011,616.0,Hamilton Heights
518,2012,678.0,Manhattanville
519,2012,678.0,Hamilton Heights
520,2013,689.0,Manhattanville
521,2013,689.0,Hamilton Heights
522,2014,617.0,Manhattanville
523,2014,617.0,Hamilton Heights
524,2015,597.0,Manhattanville
525,2015,597.0,Hamilton Heights
526,2016,597.0,Manhattanville
527,2016,597.0,Hamilton Heights
528,2017,596.0,Manhattanville
529,2017,596.0,Hamilton Heights
530,2018,683.0,Manhattanville
531,2018,683.0,Hamilton Heights
532,2000,1197.0,Central Harlem
533,2001,968.0,Central Harlem
534,2002,895.0,Central Harlem
535,2003,914.0,Central Harlem
536,2004,912.0,Central Harlem
537,2005,1005.0,Central Harlem
538,2006,1105.0,Central Harlem
539,2007,886.0,Central Harlem
540,2008,1003.0,Central Harlem
541,2009,897.0,Central Harlem
542,2010,892.0,Central Harlem
543,2011,911.0,Central Harlem
544,2012,945.0,Central Harlem
545,2013,920.0,Central Harlem
546,2014,823.0,Central Harlem
547,2015,945.0,Central Harlem
548,2016,1033.0,Central Harlem
549,2017,966.0,Central Harlem
550,2018,947.0,Central Harlem
551,2000,1483.0,Manhattanville
552,2000,1483.0,Hamilton Heights
553,2001,1211.0,Manhattanville
554,2001,1211.0,Hamilton Heights
555,2002,1096.0,Manhattanville
556,2002,1096.0,Hamilton Heights
557,2003,1154.0,Manhattanville
558,2003,1154.0,Hamilton Heights
559,2004,1186.0,Manhattanville
560,2004,1186.0,Hamilton Heights
561,2005,1101.0,Manhattanville
562,2005,1101.0,Hamilton Heights
563,2006,1053.0,Manhattanville
564,2006,1053.0,Hamilton Heights
565,2007,975.0,Manhattanville
566,2007,975.0,Hamilton Heights
567,2008,888.0,Manhattanville
568,2008,888.0,Hamilton Heights
569,2009,737.0,Manhattanville
570,2009,737.0,Hamilton Heights
571,2010,767.0,Manhattanville
572,2010,767.0,Hamilton Heights
573,2011,797.0,Manhattanville
574,2011,797.0,Hamilton Heights
575,2012,868.0,Manhattanville
576,2012,868.0,Hamilton Heights
577,2013,832.0,Manhattanville
578,2013,832.0,Hamilton Heights
579,2014,749.0,Manhattanville
580,2014,749.0,Hamilton Heights
581,2015,733.0,Manhattanville
582,2015,733.0,Hamilton Heights
583,2016,722.0,Manhattanville
584,2016,722.0,Hamilton Heights
585,2017,696.0,Manhattanville
586,2017,696.0,Hamilton Heights
587,2018,807.0,Manhattanville
588,2018,807.0,Hamilton Heights
589,2000,1697.0,Central Harlem
590,2001,1602.0,Central Harlem
591,2002,1446.0,Central Harlem
592,2003,1410.0,Central Harlem
593,2004,1455.0,Central Harlem
594,2005,1364.0,Central Harlem
595,2006,1475.0,Central Harlem
596,2007,1278.0,Central Harlem
597,2008,1204.0,Central Harlem
598,2009,1105.0,Central Harlem
599,2010,1103.0,Central Harlem
600,2011,1108.0,Central Harlem
601,2012,1029.0,Central Harlem
602,2013,1000.0,Central Harlem
603,2014,996.0,Central Harlem
604,2015,1120.0,Central Harlem
605,2016,1052.0,Central Harlem
606,2017,950.0,Central Harlem
607,2018,1026.0,Central Harlem
608,2000,1309.0,Washington Heigh.
609,2000,1309.0,Inwood
610,2001,1214.0,Washington Heigh.
611,2001,1214.0,Inwood
612,2002,1232.0,Washington Heigh.
613,2002,1232.0,Inwood
614,2003,1201.0,Washington Heigh.
615,2003,1201.0,Inwood
616,2004,1123.0,Washington Heigh.
617,2004,1123.0,Inwood
618,2005,1000.0,Washington Heigh.
619,2005,1000.0,Inwood
620,2006,948.0,Washington Heigh.
621,2006,948.0,Inwood
622,2007,918.0,Washington Heigh.
623,2007,918.0,Inwood
624,2008,921.0,Washington Heigh.
625,2008,921.0,Inwood
626,2009,876.0,Washington Heigh.
627,2009,876.0,Inwood
628,2010,884.0,Washington Heigh.
629,2010,884.0,Inwood
630,2011,877.0,Washington Heigh.
631,2011,877.0,Inwood
632,2012,894.0,Washington Heigh.
633,2012,894.0,Inwood
634,2013,927.0,Washington Heigh.
635,2013,927.0,Inwood
636,2014,811.0,Washington Heigh.
637,2014,811.0,Inwood
638,2015,807.0,Washington Heigh.
639,2015,807.0,Inwood
640,2016,712.0,Washington Heigh.
641,2016,712.0,Inwood
642,2017,681.0,Washington Heigh.
643,2017,681.0,Inwood
644,2018,708.0,Washington Heigh.
645,2018,708.0,Inwood
646,2000,1977.0,Washington Heights
647,2000,1977.0,Inwood
648,2001,1690.0,Washington Heights
649,2001,1690.0,Inwood
650,2002,1718.0,Washington Heights
651,2002,1718.0,Inwood
652,2003,1586.0,Washington Heights
653,2003,1586.0,Inwood
654,2004,1656.0,Washington Heights
655,2004,1656.0,Inwood
656,2005,1502.0,Washington Heights
657,2005,1502.0,Inwood
658,2006,1403.0,Washington Heights
659,2006,1403.0,Inwood
660,2007,1359.0,Washington Heights
661,2007,1359.0,Inwood
662,2008,1327.0,Washington Heights
663,2008,1327.0,Inwood
664,2009,1238.0,Washington Heights
665,2009,1238.0,Inwood
666,2010,1200.0,Washington Heights
667,2010,1200.0,Inwood
668,2011,1283.0,Washington Heights
669,2011,1283.0,Inwood
670,2012,1157.0,Washington Heights
671,2012,1157.0,Inwood
672,2013,1160.0,Washington Heights
673,2013,1160.0,Inwood
674,2014,1151.0,Washington Heights
675,2014,1151.0,Inwood
676,2015,1315.0,Washington Heights
677,2015,1315.0,Inwood
678,2016,1323.0,Washington Heights
679,2016,1323.0,Inwood
680,2017,1382.0,Washington Heights
681,2017,1382.0,Inwood
682,2018,1377.0,Washington Heights
683,2018,1377.0,Inwood
684,2000,2449.0,Melrose
685,2000,2449.0,Mott Haven
686,2000,2449.0,Port Morris
687,2001,2162.0,Melrose
688,2001,2162.0,Mott Haven
689,2001,2162.0,Port Morris
690,2002,2115.0,Melrose
691,2002,2115.0,Mott Haven
692,2002,2115.0,Port Morris
693,2003,2146.0,Melrose
694,2003,2146.0,Mott Haven
695,2003,2146.0,Port Morris
696,2004,2103.0,Melrose
697,2004,2103.0,Mott Haven
698,2004,2103.0,Port Morris
699,2005,1950.0,Melrose
700,2005,1950.0,Mott Haven
701,2005,1950.0,Port Morris
702,2006,1874.0,Melrose
703,2006,1874.0,Mott Haven
704,2006,1874.0,Port Morris
705,2007,1827.0,Melrose
706,2007,1827.0,Mott Haven
707,2007,1827.0,Port Morris
708,2008,1865.0,Melrose
709,2008,1865.0,Mott Haven
710,2008,1865.0,Port Morris
711,2009,1645.0,Melrose
712,2009,1645.0,Mott Haven
713,2009,1645.0,Port Morris
714,2010,1672.0,Melrose
715,2010,1672.0,Mott Haven
716,2010,1672.0,Port Morris
717,2011,1667.0,Melrose
718,2011,1667.0,Mott Haven
719,2011,1667.0,Port Morris
720,2012,1628.0,Melrose
721,2012,1628.0,Mott Haven
722,2012,1628.0,Port Morris
723,2013,1902.0,Melrose
724,2013,1902.0,Mott Haven
725,2013,1902.0,Port Morris
726,2014,1646.0,Melrose
727,2014,1646.0,Mott Haven
728,2014,1646.0,Port Morris
729,2015,2118.0,Melrose
730,2015,2118.0,Mott Haven
731,2015,2118.0,Port Morris
732,2016,2430.0,Melrose
733,2016,2430.0,Mott Haven
734,2016,2430.0,Port Morris
735,2017,2476.0,Melrose
736,2017,2476.0,Mott Haven
737,2017,2476.0,Port Morris
738,2018,2344.0,Melrose
739,2018,2344.0,Mott Haven
740,2018,2344.0,Port Morris
741,2000,1834.0,Hunts Point
742,2000,1834.0,Longwood
743,2001,1440.0,Hunts Point
744,2001,1440.0,Longwood
745,2002,1405.0,Hunts Point
746,2002,1405.0,Longwood
747,2003,1372.0,Hunts Point
748,2003,1372.0,Longwood
749,2004,1320.0,Hunts Point
750,2004,1320.0,Longwood
751,2005,1322.0,Hunts Point
752,2005,1322.0,Longwood
753,2006,1277.0,Hunts Point
754,2006,1277.0,Longwood
755,2007,1276.0,Hunts Point
756,2007,1276.0,Longwood
757,2008,1279.0,Hunts Point
758,2008,1279.0,Longwood
759,2009,1243.0,Hunts Point
760,2009,1243.0,Longwood
761,2010,1271.0,Hunts Point
762,2010,1271.0,Longwood
763,2011,1342.0,Hunts Point
764,2011,1342.0,Longwood
765,2012,1488.0,Hunts Point
766,2012,1488.0,Longwood
767,2013,1760.0,Hunts Point
768,2013,1760.0,Longwood
769,2014,1291.0,Hunts Point
770,2014,1291.0,Longwood
771,2015,1164.0,Hunts Point
772,2015,1164.0,Longwood
773,2016,1142.0,Hunts Point
774,2016,1142.0,Longwood
775,2017,908.0,Hunts Point
776,2017,908.0,Longwood
777,2018,976.0,Hunts Point
778,2018,976.0,Longwood
779,2000,1838.0,Moriisania Croton Park East
780,2001,1686.0,Moriisania Croton Park East
781,2002,1632.0,Moriisania Croton Park East
782,2003,1639.0,Moriisania Croton Park East
783,2004,1592.0,Moriisania Croton Park East
784,2005,1684.0,Moriisania Croton Park East
785,2006,1668.0,Moriisania Croton Park East
786,2007,1563.0,Moriisania Croton Park East
787,2008,1351.0,Moriisania Croton Park East
788,2009,1142.0,Moriisania Croton Park East
789,2010,1178.0,Moriisania Croton Park East
790,2011,1243.0,Moriisania Croton Park East
791,2012,1277.0,Moriisania Croton Park East
792,2013,1335.0,Moriisania Croton Park East
793,2014,1334.0,Moriisania Croton Park East
794,2015,1343.0,Moriisania Croton Park East
795,2016,1414.0,Moriisania Croton Park East
796,2017,1412.0,Moriisania Croton Park East
797,2018,1473.0,Moriisania Croton Park East
798,2000,3576.0,Soundview
799,2000,3576.0,Parkchester
800,2001,3329.0,Soundview
801,2001,3329.0,Parkchester
802,2002,3220.0,Soundview
803,2002,3220.0,Parkchester
804,2003,3084.0,Soundview
805,2003,3084.0,Parkchester
806,2004,2957.0,Soundview
807,2004,2957.0,Parkchester
808,2005,2840.0,Soundview
809,2005,2840.0,Parkchester
810,2006,2709.0,Soundview
811,2006,2709.0,Parkchester
812,2007,2592.0,Soundview
813,2007,2592.0,Parkchester
814,2008,2574.0,Soundview
815,2008,2574.0,Parkchester
816,2009,2423.0,Soundview
817,2009,2423.0,Parkchester
818,2010,2306.0,Soundview
819,2010,2306.0,Parkchester
820,2011,2382.0,Soundview
821,2011,2382.0,Parkchester
822,2012,2437.0,Soundview
823,2012,2437.0,Parkchester
824,2013,2480.0,Soundview
825,2013,2480.0,Parkchester
826,2014,2452.0,Soundview
827,2014,2452.0,Parkchester
828,2015,2491.0,Soundview
829,2015,2491.0,Parkchester
830,2016,2342.0,Soundview
831,2016,2342.0,Parkchester
832,2017,2060.0,Soundview
833,2017,2060.0,Parkchester
834,2018,1940.0,Soundview
835,2018,1940.0,Parkchester
836,2000,3685.0,Highbridge
837,2000,3685.0,Concourse Village
838,2001,2895.0,Highbridge
839,2001,2895.0,Concourse Village
840,2002,2764.0,Highbridge
841,2002,2764.0,Concourse Village
842,2003,2505.0,Highbridge
843,2003,2505.0,Concourse Village
844,2004,2440.0,Highbridge
