,PCT,Crime,Year,Nbr of Crimes,variable,Neighborhood
189,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2011,59.0,1,Tribeca
190,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2011,1402.0,0,Battery Park
191,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2011,1402.0,1,Tribeca
192,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2012,1.0,0,Battery Park
193,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2012,1.0,1,Tribeca
194,1.0,RAPE                                  ,2012,10.0,0,Battery Park
195,1.0,RAPE                                  ,2012,10.0,1,Tribeca
196,1.0,ROBBERY                               ,2012,81.0,0,Battery Park
197,1.0,ROBBERY                               ,2012,81.0,1,Tribeca
198,1.0,FELONY ASSAULT                        ,2012,110.0,0,Battery Park
199,1.0,FELONY ASSAULT                        ,2012,110.0,1,Tribeca
200,1.0,BURGLARY                              ,2012,188.0,0,Battery Park
201,1.0,BURGLARY                              ,2012,188.0,1,Tribeca
202,1.0,GRAND LARCENY                         ,2012,985.0,0,Battery Park
203,1.0,GRAND LARCENY                         ,2012,985.0,1,Tribeca
204,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2012,41.0,0,Battery Park
205,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2012,41.0,1,Tribeca
206,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2012,1416.0,0,Battery Park
207,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2012,1416.0,1,Tribeca
208,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2013,0.0,0,Battery Park
209,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2013,0.0,1,Tribeca
210,1.0,RAPE                                  ,2013,12.0,0,Battery Park
211,1.0,RAPE                                  ,2013,12.0,1,Tribeca
212,1.0,ROBBERY                               ,2013,68.0,0,Battery Park
213,1.0,ROBBERY                               ,2013,68.0,1,Tribeca
214,1.0,FELONY ASSAULT                        ,2013,87.0,0,Battery Park
215,1.0,FELONY ASSAULT                        ,2013,87.0,1,Tribeca
216,1.0,BURGLARY                              ,2013,171.0,0,Battery Park
217,1.0,BURGLARY                              ,2013,171.0,1,Tribeca
218,1.0,GRAND LARCENY                         ,2013,1051.0,0,Battery Park
219,1.0,GRAND LARCENY                         ,2013,1051.0,1,Tribeca
220,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2013,27.0,0,Battery Park
221,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2013,27.0,1,Tribeca
222,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2013,1416.0,0,Battery Park
223,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2013,1416.0,1,Tribeca
224,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2014,0.0,0,Battery Park
225,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2014,0.0,1,Tribeca
226,1.0,RAPE                                  ,2014,8.0,0,Battery Park
227,1.0,RAPE                                  ,2014,8.0,1,Tribeca
228,1.0,ROBBERY                               ,2014,50.0,0,Battery Park
229,1.0,ROBBERY                               ,2014,50.0,1,Tribeca
230,1.0,FELONY ASSAULT                        ,2014,76.0,0,Battery Park
231,1.0,FELONY ASSAULT                        ,2014,76.0,1,Tribeca
232,1.0,BURGLARY                              ,2014,145.0,0,Battery Park
233,1.0,BURGLARY                              ,2014,145.0,1,Tribeca
234,1.0,GRAND LARCENY                         ,2014,896.0,0,Battery Park
235,1.0,GRAND LARCENY                         ,2014,896.0,1,Tribeca
236,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2014,33.0,0,Battery Park
237,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2014,33.0,1,Tribeca
238,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2014,1208.0,0,Battery Park
239,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2014,1208.0,1,Tribeca
240,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2015,1.0,0,Battery Park
241,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2015,1.0,1,Tribeca
242,1.0,RAPE                                  ,2015,7.0,0,Battery Park
243,1.0,RAPE                                  ,2015,7.0,1,Tribeca
244,1.0,ROBBERY                               ,2015,79.0,0,Battery Park
245,1.0,ROBBERY                               ,2015,79.0,1,Tribeca
246,1.0,FELONY ASSAULT                        ,2015,86.0,0,Battery Park
247,1.0,FELONY ASSAULT                        ,2015,86.0,1,Tribeca
248,1.0,BURGLARY                              ,2015,138.0,0,Battery Park
249,1.0,BURGLARY                              ,2015,138.0,1,Tribeca
250,1.0,GRAND LARCENY                         ,2015,1114.0,0,Battery Park
251,1.0,GRAND LARCENY                         ,2015,1114.0,1,Tribeca
252,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2015,21.0,0,Battery Park
253,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2015,21.0,1,Tribeca
254,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2015,1446.0,0,Battery Park
255,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2015,1446.0,1,Tribeca
256,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2016,0.0,0,Battery Park
257,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2016,0.0,1,Tribeca
258,1.0,RAPE                                  ,2016,9.0,0,Battery Park
259,1.0,RAPE                                  ,2016,9.0,1,Tribeca
260,1.0,ROBBERY                               ,2016,60.0,0,Battery Park
261,1.0,ROBBERY                               ,2016,60.0,1,Tribeca
262,1.0,FELONY ASSAULT                        ,2016,78.0,0,Battery Park
263,1.0,FELONY ASSAULT                        ,2016,78.0,1,Tribeca
264,1.0,BURGLARY                              ,2016,117.0,0,Battery Park
265,1.0,BURGLARY                              ,2016,117.0,1,Tribeca
266,1.0,GRAND LARCENY                         ,2016,1081.0,0,Battery Park
267,1.0,GRAND LARCENY                         ,2016,1081.0,1,Tribeca
268,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2016,50.0,0,Battery Park
269,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2016,50.0,1,Tribeca
270,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2016,1395.0,0,Battery Park
271,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2016,1395.0,1,Tribeca
272,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2017,9.0,0,Battery Park
273,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2017,9.0,1,Tribeca
274,1.0,RAPE                                  ,2017,18.0,0,Battery Park
275,1.0,RAPE                                  ,2017,18.0,1,Tribeca
276,1.0,ROBBERY                               ,2017,69.0,0,Battery Park
