neighborhood,crime_rank,income_rank,avg_sales_rank,cum_development_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
UPPERWESTSIDE(79-96),134.5,191.0,191.0,167.0,0.8295,0.7111,4.8536
UPPERWESTSIDE(96-116),134.5,176.0,180.0,151.0,0.7785,0.668,4.5679
WAKEFIELD,14.0,23.0,57.0,29.0,0.1493,0.1286,1.3768
WOODLAWN,14.0,63.0,18.0,12.0,0.1299,0.1014,0.4978
WASHINGTONHEIGHTSLOWER,188.0,138.0,153.0,162.0,0.7779,0.6837,3.9529
WASHINGTONHEIGHTSUPPER,61.5,171.0,154.0,114.0,0.6074,0.5084,3.8788
MIDTOWNWEST,134.5,195.0,202.0,187.0,0.872,0.7499,5.1329
WILLIAMSBRIDGE,14.0,17.0,99.0,55.0,0.2245,0.1981,2.3678
WINDSORTERRACE,125.0,147.0,70.0,119.0,0.5595,0.4817,1.9626
FLATBUSH-LEFFERTSGARDEN,85.0,48.0,78.0,45.0,0.3107,0.2719,1.9459
JAMAICABAY,200.5,59.0,9.0,4.0,0.3307,0.2936,0.3908
KINGSBRIDGE/JEROMEPARK,158.0,76.0,80.0,123.0,0.5303,0.4758,2.1487
PELHAMPARKWAYSOUTH,158.0,70.0,58.0,60.0,0.4199,0.3719,1.5667
