BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2900,66, ,K2, 418 EAST TREMONT AVENUE                   ,            ,10457,0,1,1,2291,5409,2002, 4 , K2 ,0,4/10/2008
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3045,27, ,K1, 502 EAST 180 STREET                       ,            ,10457,0,5,5,3408,3408,1931, 4 , K1 ,0,11/6/2008
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3050,61, ,K4, 500-502 EAST 183 STREET                   ,            ,10458,4,3,7,5489,7057,1900, 4 , K4 ,10,9/21/2008
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3050,61, ,K4, 500-502 EAST 183RD STREET                 ,            ,10458,4,3,7,5489,7057,1900, 4 , K4 ,0,5/14/2008
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3052,11, ,K1, 4551 3RD AVENUE                           ,            ,10458,0,4,4,5483,2680,1924, 4 , K1 ,0,1/15/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2919,39, ,G6, 3861 3 AVENUE                             ,            ,10457,0,0,0,6133,0,0, 4 , G6 ,1400000,2/8/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2919,42, ,G7, 3 AVENUE                                  ,            ,10457,0,0,0,3873,0,0, 4 , G7 ,0,2/8/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,2,2919,43, ,D1, 3859 3 AVENUE                             ,            ,10457,104,0,104,2583,78300,2011, 4 , G7 ,0,2/8/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2919,44, ,G7, 3857 3 AVENUE                             ,            ,10457,0,0,0,2521,0,0, 4 , G7 ,0,2/8/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,  ,2929,58, ,  , 3952 3 AVENUE                             ,            ,10457,0,0,0,0,0,0, 4 , G7 ,0,6/26/2008
